year,us_open,pga_champ,masters,the_open
1980,255.2734694,256.1622642,251.63076919999997,-1.0
1981,257.29577459999996,258.5815287,257.6406897,-1.0
1982,255.16985290000002,254.71025640000002,254.7645833,-1.0
1983,255.8480769,257.29515150000003,255.7512821,-1.0
1984,256.9051282,258.2812121,255.9584416,-1.0
1985,259.46583849999996,260.2309942,259.3865854,-1.0
1986,258.9734568,261.0011236,256.7993548,-1.0
1987,255.31987949999998,260.9460674,258.1566879,-1.0
1988,262.4494186,261.4404372,261.1018634,-1.0
1989,255.6668571,260.3091892,257.7632911,-1.0
1990,256.2457627,260.0440217,258.9426136,-1.0
1991,258.568,259.7005348,258.471875,-1.0
1992,257.7670455,259.6243094,260.1581921,-1.0
1993,258.1670391,259.62762430000004,258.025,-1.0
1994,257.11091949999997,260.4093923,258.0798817,-1.0
1995,256.9426966,261.3349206,260.3584795,261.23370165745854
1996,260.02727269999997,265.66397850000004,265.3260563,265.39569892473116
1997,262.3921687,267.16290319999996,265.8626761,266.9511111111111
1998,266.27951809999996,269.1513812,270.53776600000003,269.45199999999994
1999,269.6606383,272.91808510000004,270.5377778,272.1941176470588
2000,268.692973,271.74507769999997,269.4045455,271.15684210526314
2001,273.9861111,278.6125628,274.4297297,277.2278350515464
2002,275.79371430000003,279.249,277.3111732,278.1954081632653
2003,281.77729730000004,284.48418369999996,284.0381215,284.04536082474226
2004,285.57459460000007,286.6088083,283.81967210000005,286.2121693121693
2005,285.5238095,286.48465350000004,280.67717389999996,286.4299492385787
2006,285.7670213,289.4984694,288.38540539999997,288.740206185567
2007,284.2047619,289.0541237,283.53756610000005,287.1035897435898
2008,284.47185930000006,286.797619,281.63349750000003,285.69320388349513
2009,284.8096447,288.1686275,284.1,286.8260204081633
2010,283.4047619,287.13214289999996,280.5518519,285.0074468085106
2011,288.1770053,290.6774869,285.67794869999994,288.8179894179894
2012,286.56793480000005,289.7584615,286.73021980000004,289.0526595744681
2013,285.6259459,287.8936508,286.5989474,287.9123655913978
2014,287.4579487,289.2793651,288.161165,289.1921875
2015,288.7015075,289.81116749999995,288.20829269999996,288.694472361809
2016,288.77525249999997,289.8439394,290.11148330000003,289.13316582914575
2017,289.964878,292.0925743,290.2790476,291.3298507462686
2018,294.21932369999996,296.5643902,294.5885714,296.03137254901964
2019,292.4140097,293.1862559,293.1224299,294.27878787878785
