position,time,swimmer,date,venue,nationality,full_body_suit,sex,event
1,00:20.910,Cesar Cielo,17-Dec-09,Brazil,Brazil,yes,male,50_free
2,00:20.940,Frederick Bousquet,22-Apr-09,France,France,yes,male,50_free
3,00:21.040,Caeleb Dressel,27-Jul-19,South Korea,USA,no,male,50_free
4,00:21.110,Benjamin Proud,03-Aug-18,Great Britain,UK,no,male,50_free
5,00:21.190,Ashley Callus,26-Nov-09,Australia,Australia,yes,male,50_free
6,00:21.190,Florent Manaudou,02-Aug-15,Russia,France,no,male,50_free
7,00:21.200,George Bovell,31-Jul-09,Italy,Trinidad and Tobago,yes,male,50_free
8,00:21.230,Alain Bernard,22-Apr-09,France,France,yes,male,50_free
9,00:21.250,Amaury Leveaux,01-Aug-09,Italy,France,yes,male,50_free
10,00:21.270,Bruno Fratus,29-Jul-17,Hungary,Brazil,no,male,50_free
11,00:21.270,Vladimir Morozov,15-Aug-19,Singapore,Rusia,no,male,50_free
12,00:21.280,Eamon Sullivan,22-Mar-08,Australia,Austrialia,yes,male,50_free
13,00:21.290,Duje Draganja,31-Jul-09,Italy,Croatia,yes,male,50_free
14,00:21.370,Nathan Adrian,07-Aug-15,Russia,USA,no,male,50_free
15,00:21.370,Andrea Vergan,08-Aug-18,Great Britain,Italy,no,male,50_free
16,00:21.400,Cullen Jones,31-Jul-09,Italy,USA,yes,male,50_free
17,00:21.400,Anthony Ervin,12-Aug-16,Brazil,USA,no,male,50_free
18,00:21.420,Krisztian Takacs,31-Jul-09,Italy,Hungary,yes,male,50_free
19,00:21.440,Cameron McEvoy,12-Apr-16,Australia,Australia,no,male,50_free
20,00:21.440,Kristian Gkolomeev,09-Aug-18,Great Britain,Greece,no,male,50_free
21,00:21.450,Stefan Nystrand,31-Jul-09,Italy,Sweden,yes,male,50_free
22,00:21.450,Pawel Juraszek,24-May-18,Poland,Poland,no,male,50_free
23,00:21.460,Andrii Govorov,11-Aug-16,Brazil,Ukraine,no,male,50_free
24,00:21.460,Michael Andrew,12-Aug-18,Japan,USA,no,male,50_free
25,00:21.470,Garrett Webber-Gale,29-Jun-08,United States,USA,yes,male,50_free
1,01:50.700,Kristóf Milák,24-Jul-19,South Korea,Hungary,no,male,200_butterfly
2,01:51.500,Michael Phelps,29-Jul-09,Italy,USA,yes,male,200_butterfly
3,01:52.500,Daiya Seto,18-Jan-20,Beijing,Japan,no,male,200_butterfly
4,01:52.700,László Cseh,13-Aug-08,China,Hungary,yes,male,200_butterfly
5,01:53.000,Chad le Clos,31-Jul-12,Great Britain,South Africa,no,male,200_butterfly
6,01:53.000,Takeshi Matsuda,13-Aug-08,China,Japan,yes,male,200_butterfly
